floor,gender,time,comments
50,M,2022-11-04T06:31:17.745Z,"中年病很讚(｡･ω･｡)ﾉ

再推個 非人物種_塞你娘的愛"
51,F,2022-11-04T06:40:35.057Z,"https://open.spotify.com/album/10j8ZbX8eJNl2ENYIVltMA?si=g2CNuo6gQcuAQ2G0t3xBWQ

https://open.spotify.com/track/1YsGA80o0mHjV2oVqy2g2p?si=kSWIXNvGRniuuCogoZhZMQ

https://open.spotify.com/track/2mpUSaVZCzLroD0C2VelV2?si=S1jIXgVuTB2NGaF7kb3b3g"
52,M,2022-11-04T06:41:04.769Z,推薦寶島材料行的暗暝無名路跟都市迷星啦！ 超讚！
53,F,2022-11-04T06:41:48.065Z,滅火器 👍 淺堤
54,F,2022-11-04T06:48:17.109Z,青虫、淺堤、椅子
55,F,2022-11-04T06:56:01.973Z,百合花
56,M,2022-11-04T07:00:58.213Z,a piece of cake256 整張專輯都超讚
57,M,2022-11-04T07:41:43.219Z,"推薦 
影子計劃-蜂和蜜
琳誼-錄影帶
琳誼-蚵仔麵線
蕭煌奇-寫一條歌寫你我爾爾"
58,F,2022-11-04T08:00:23.096Z,滅火器 真的要！
59,M,2022-11-04T08:17:38.395Z,"寶島材料行-都市迷星
小安-憂愁
裝咖人-花巷
椅子樂團-maybe maybe 
無妄合作社-青春之歌
-
謝版主，歌單裡又加了一團🫠"
60,F,2022-11-04T08:32:07.813Z,生炒鴨肉羹！看過兩次現場 讚的
61,F,2022-11-04T09:14:53.598Z,滅火器 拍謝少年 推啦
62,F,2022-11-04T09:19:29.262Z,津波
63,F,2022-11-04T09:53:28.751Z,1950年左右台灣台語歌的曲調都很特別，推薦給你
64,F,2022-11-04T11:03:01.031Z,推個 農村武裝青年
65,M,2022-11-04T12:46:28.315Z,濁水溪公社 來去台西鄉賺錢
66,F,2022-11-04T16:09:42.721Z,"非人物種-一世人
https://youtu.be/tX_cMIc4aZM"
67,F,2022-11-04T16:15:21.275Z,"SHOOT UP
https://open.spotify.com/artist/65franNT6TTpDceHSHFlW7?si=ddzZ20YPQSS9VWgAARRjrg&utm_source=copy-link"
68,F,2022-11-04T16:59:03.197Z,"孩子王推推推！！半眠超讚😻
台二一、走鐘、月娘都很棒"
69,M,2022-11-04T17:31:18.273Z,https://youtu.be/GjTIrxn4pYM
70,F,2022-11-04T17:36:36.754Z,"最近在聽孩子王《月娘》《半眠》
然後最近發現了一個非常old school 二十幾年前的歌，Why not《無法度按奈》
至於拍謝少年跟滅火器就不用我多說了
另外更早一點的我喜歡伍佰的《少年欸安啦》、董事長樂團《愛我你會死》
然後美秀的台語歌超讚，電電電電電電電火王"
71,,2022-11-04T17:38:53.263Z,
72,F,2022-11-04T17:39:23.941Z,原來有人有講宜農漏看了，水逆這張全台語真的超優，還有之前做的幾首台語單曲也都很讚
73,F,2022-11-04T17:44:18.336Z,"宝島材料行 ദ്ദി ˉ͈̀꒳ˉ͈́ )✧
https://youtu.be/Z9ZUj1Z4ZD0

https://youtu.be/ZT7s3I-GN2Q

https://youtu.be/V0ndZxqbW6Y

期待接下來的巡演～北中南都有可以挑看選看ww"
74,F,2022-11-04T17:47:11.516Z,"打倒三明治🥊🥪
https://youtu.be/hVQmzVdDx9Q"
75,F,2022-11-04T17:49:52.270Z,"青虫

https://youtu.be/JGK5Z0h33NA

https://youtu.be/VJ8CaDuYKOU"
76,F,2022-11-04T17:57:08.213Z,"淺堤
https://youtu.be/ms8E79b2OgQ"
77,F,2022-11-04T17:59:31.047Z,"雖說夢中見是翻唱拍謝少年的，但我好喜歡安溥的版本，可以聽聽看
https://youtu.be/0TLaTD-pMy0"
78,F,2022-11-04T17:59:57.521Z,周自從也不錯唷
79,F,2022-11-04T18:18:40.642Z,"百合花—拜六
Why not —無法度按捺
青虫—媠花"
80,M,2022-11-04T18:38:55.778Z,農村武裝青年翻唱的白鷺鷥
81,F,2022-11-04T22:25:37.485Z,怎麼會少了滅火器！
82,M,2022-11-04T22:59:11.150Z,"怎麼看了整篇文沒人提到
burning beak-98分的愛情"
83,F,2022-11-04T23:09:42.748Z,怎麼可以少了滅火器！
84,M,2022-11-05T00:41:29.218Z,"推一首最近一直循環的歌
滅火器 - 十二月的你"
85,M,2022-11-05T02:56:32.793Z,"夕陽武士 燈光下
孩子王 半眠
Marry see the future 陸橋
夢岸
月下
白鐵仔"
86,M,2022-11-05T03:11:00.717Z,https://youtu.be/8UQKXuRpZq0
87,F,2022-11-05T05:51:31.885Z,"鄭怡農-終戰、玉仔的心
余佩真-丁酉年正月二十四日、昏你
滅火器-一九四五
拍謝少年-山盟、佇世界安靜的時
閃靈-暮沉武德殿（民謠版）

如果有興趣聽老歌的話，推個江蕙版的空笑夢"
88,M,2022-11-05T08:20:48.632Z,https://music.youtube.com/playlist?list=OLAK5uy_kXi37a1vwjICKxUnY5p_20AuuCdkblSK0&feature=share
89,,2022-11-05T09:26:23.308Z,
90,F,2022-11-05T10:15:23.879Z,"黃妃-雪咧飛
https://youtu.be/xNb-yJNEzSo"
91,M,2022-11-05T11:35:05.704Z,肯定是伍佰啊
92,M,2022-11-05T13:04:58.587Z,"台青蕉 全部的歌曲都很好聽
現場還會發香蕉給大家吃 
超愛他們 而且致力推廣鄉村農民文化"
93,F,2022-11-05T13:37:10.936Z,"適者生存樂團-風飛沙
讚的"
94,F,2022-11-05T13:57:42.042Z,小安和黃乙玲的憂愁都很好聽，也喜歡魚丁糸的憂愁又是另一種感覺https://youtu.be/Gnue6Ue2mK8
95,F,2022-11-05T17:16:44.460Z,影子計劃 沒注意到你在流眼淚！
96,M,2022-11-05T18:08:59.324Z,"農村武裝青年
隨性 負心人"
97,F,2022-11-05T18:11:21.696Z,烏流-訕洗的夢佮末日的戲弄
98,M,2022-11-05T18:18:45.427Z,等阮返來-我共一切攏予你啊
99,F,2022-11-05T18:27:47.589Z,浮動-不敢寫愛的妳
100,F,2022-11-05T18:33:34.646Z,宇宙人 好野
